geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,qm_energy_eV,base_reference_eV,qm_reference_eV,base_relative_eV,qm_relative_eV,residual_target_eV,base_force_max_eV_per_angstrom
formaldehyde_grid_0058,formaldehyde,train,grid,transfer_region,1.9,0.9214285714,-15.30672842896172,-3128.7914942677066,-15.278360339065305,-3128.712103255751,-0.02836808989641426,-0.07939101195552212,-0.051022922059107856,3.789257908569038
formaldehyde_grid_0059,formaldehyde,train,grid,transfer_region,1.9,1.0571428571,-12.927758250457085,-3128.324277586127,-15.278360339065305,-3128.712103255751,2.3506020886082197,0.38782566962390774,-1.962776418984312,22.85238655432323
formaldehyde_grid_0060,formaldehyde,train,grid,transfer_region,1.9,1.1928571429,-11.204318579072606,-3127.789066922833,-15.278360339065305,-3128.712103255751,4.074041759992699,0.9230363329179454,-3.151005427074754,2.1916024948796298
formaldehyde_grid_0061,formaldehyde,train,grid,off_path,1.9,1.3285714286,-11.204318579072606,-3127.2756327838397,-15.278360339065305,-3128.712103255751,4.074041759992699,1.4364704719114343,-2.637571288081265,2.1916024948796298
formaldehyde_grid_0062,formaldehyde,train,grid,off_path,1.9,1.4642857143,-11.204318579072606,-3126.840196425695,-15.278360339065305,-3128.712103255751,4.074041759992699,1.8719068300561048,-2.2021349299365944,2.1916024948796298
formaldehyde_grid_0063,formaldehyde,train,grid,off_path,1.9,1.6,-11.204318579072606,-3126.511428159264,-15.278360339065305,-3128.712103255751,4.074041759992699,2.2006750964869752,-1.873366663505724,2.1916024948796298
formaldehyde_jitter_0000,formaldehyde,train,jitter,product_like,1.5352413291,0.8006961515,-14.932656140068296,-3128.6938520488943,-15.278360339065305,-3128.712103255751,0.34570419899700866,0.018251206856803037,-0.3274529921402056,22.94466257284968
formaldehyde_jitter_0001,formaldehyde,train,jitter,product_like,1.8175073921,0.8735975876,-15.447996525071279,-3128.768993322067,-15.278360339065305,-3128.712103255751,-0.16963618600597385,-0.056890066316100274,0.11274611968987358,3.4671586966320684
formaldehyde_jitter_0002,formaldehyde,train,jitter,off_path,1.2891403084,1.4729033747,-14.809027005993016,-3128.311403454982,-15.278360339065305,-3128.712103255751,0.46933333307228864,0.4006998007689617,-0.06863353230332692,6.362937198645456
formaldehyde_jitter_0003,formaldehyde,train,jitter,product_like,1.7290097548,0.8361428641,-15.463763695768463,-3128.873327250292,-15.278360339065305,-3128.712103255751,-0.18540335670315855,-0.16122399454070546,0.02417936216245309,2.5630172399891524
